Marital status,Application mode,Application order,Course,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Daytime/evening attendance
single,1,1,Communication Design,Secondary education,124,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,125.4,yes,no,no,yes,male,no,19,yes,0,6,6,6,13.5,0,0,6,6,6,13.16666667,0,9.4,-0.8,-3.12,Graduate,daytime
single,1,1,Informatics Engineering,Secondary education,126,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",130.2,no,no,no,yes,male,no,19,yes,0,5,7,5,10.2,0,0,5,8,3,12,0,10.8,1.4,1.74,Enrolled,daytime
single,1,1,Social Service,Secondary education,140,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,132,no,no,no,yes,male,no,19,yes,0,6,10,5,11.57142857,0,0,6,10,3,13,0,16.2,0.3,-0.92,Dropout,daytime
single,44,1,Agronomy,Technological specialization course,170,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",170,yes,no,yes,yes,male,no,21,yes,0,6,7,6,15.28571429,0,0,6,6,6,15.16666667,0,12.4,0.5,1.79,Graduate,daytime
single,1,2,Journalism and Communication,Secondary education,133,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities ,Administrative staff,130.2,no,no,no,yes,male,no,19,yes,0,6,9,5,12.6,0,6,10,16,8,11,1,8.9,1.4,3.51,Enrolled,daytime
single,18,2,Oral Hygiene,Secondary education,126,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities ,Specialists in Intellectual and Scientific Activities ,115.5,no,no,no,yes,male,no,18,yes,0,7,11,6,13.43333333,0,0,7,10,4,13.6,0,8.9,1.4,3.51,Graduate,daytime
single,16,2,Management,Secondary education,129,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Unskilled Workers,127.6,yes,no,no,yes,male,no,19,yes,0,5,8,5,11.6,0,0,5,9,3,11,0,10.8,1.4,1.74,Dropout,daytime
single,7,1,Journalism and Communication,Higher education - master (2nd cycle),140,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Installation and Machine Operators and Assembly Workers,140,no,no,no,yes,male,no,25,yes,0,6,6,6,14.66666667,0,0,6,6,6,13.5,0,11.1,0.6,2.02,Graduate,daytime
single,1,1,Communication Design,Secondary education,130,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,120.2,yes,no,no,yes,male,no,22,yes,0,6,9,6,14.66666667,0,0,6,12,6,14.66666667,0,12.7,3.7,-1.7,Graduate,daytime
single,39,1,Nursing,Secondary education,130,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Unskilled Workers,150,no,no,no,yes,male,no,24,yes,0,8,8,7,12.74285714,0,0,8,8,7,12.74285714,0,12.7,3.7,-1.7,Graduate,daytime
single,1,2,Nursing,Secondary education,99,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,100,yes,no,no,yes,male,no,19,yes,0,7,9,7,11.975,0,0,8,9,7,13.12857143,0,13.9,-0.3,0.79,Graduate,daytime
single,43,1,Informatics Engineering,Secondary education,146,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities ,Intermediate Level Technicians and Professions,100,no,no,no,yes,male,no,18,yes,0,5,9,4,12.25,0,0,5,11,3,11.66666667,0,13.9,-0.3,0.79,Enrolled,daytime
single,17,1,Animation and Multimedia Design,Secondary education,129,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",128,no,no,no,no,male,no,20,yes,0,0,0,0,0,0,0,0,0,0,0,0,9.4,-0.8,-3.12,Dropout,daytime
single,1,2,Nursing,Secondary education,132,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",128,yes,no,no,yes,male,yes,19,yes,0,8,8,7,14.93571429,0,0,8,8,7,14.93571429,0,10.8,1.4,1.74,Graduate,daytime
single,43,3,Tourism,Secondary education,110,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,107.2,yes,no,no,yes,male,no,19,yes,1,6,16,2,10.5,0,0,6,15,4,10,0,7.6,2.6,0.32,Dropout,daytime
single,1,1,Advertising and Marketing Management,Secondary education,116,Portuguese,Higher Education - Degree,Higher Education - Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,110.1,yes,no,no,yes,male,no,19,yes,0,6,9,5,13.33333333,0,0,6,6,5,13,0,12.4,0.5,1.79,Graduate,daytime
single,43,1,Agronomy,Secondary education,119,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",119,no,no,yes,yes,male,no,23,yes,0,6,6,0,0,0,0,6,8,0,0,0,15.5,2.8,-4.06,Dropout,daytime
married,39,1,Journalism and Communication,Secondary education,120,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,155.5,no,no,no,yes,male,no,47,yes,0,6,12,5,13.8,0,0,6,13,4,14,0,12.7,3.7,-1.7,Dropout,daytime
single,1,1,Communication Design,Secondary education,117,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Unskilled Workers,118.4,no,no,no,yes,male,no,19,yes,0,6,6,6,11.83333333,0,0,6,8,4,10.75,2,16.2,0.3,-0.92,Graduate,daytime
single,1,4,Animation and Multimedia Design,Secondary education,137,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Installation and Machine Operators and Assembly Workers,141.2,yes,no,no,yes,male,no,19,yes,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0.6,2.02,Graduate,daytime
single,1,1,Animation and Multimedia Design,Secondary education,124,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities ,Specialists in Intellectual and Scientific Activities ,119.1,yes,no,no,yes,male,no,18,yes,0,0,0,0,0,0,0,0,0,0,0,0,16.2,0.3,-0.92,Dropout,daytime
single,43,1,Management,Secondary education,151,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree," Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers"," Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",111,no,no,no,yes,male,no,28,yes,0,5,9,2,10,0,0,5,9,0,0,0,15.5,2.8,-4.06,Dropout,daytime
single,43,1,Tourism,Frequency of higher education,138.6,Portuguese,Unknown,Unknown,Student,Student,138.6,yes,no,no,yes,male,no,20,yes,0,6,10,4,11.5,0,0,6,11,3,11.66666667,0,7.6,2.6,0.32,Dropout,daytime
single,17,2,Tourism,Secondary education,118,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",121.2,no,no,no,yes,male,yes,18,yes,0,6,12,3,10.66666667,0,0,6,9,4,12,0,15.5,2.8,-4.06,Enrolled,daytime
single,1,1,Animation and Multimedia Design,Secondary education,136,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Installation and Machine Operators and Assembly Workers,150.4,yes,no,no,yes,male,yes,21,yes,0,0,0,0,0,0,0,0,0,0,0,0,12.4,0.5,1.79,Graduate,daytime
single,1,1,Tourism,Secondary education,123,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Administrative staff,117.8,no,no,no,yes,male,no,19,yes,0,6,10,4,12.75,0,0,6,12,2,13,0,10.8,1.4,1.74,Enrolled,daytime
single,39,1,Tourism,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",102.5,no,no,yes,no,male,no,24,yes,0,6,7,0,0,0,0,6,7,0,0,0,16.2,0.3,-0.92,Dropout,daytime
single,39,1,Equinculture,Secondary education,130,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,cleaning workers,Other administrative support staff,110,no,no,no,yes,male,no,24,yes,0,6,11,6,11.33333333,0,0,6,12,3,11.33333333,0,16.2,0.3,-0.92,Enrolled,daytime
single,39,1,Veterinary Nursing,Other - 11th year of schooling,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,138.3,yes,no,yes,no,male,no,25,yes,0,6,6,0,0,0,0,6,6,0,0,0,8.9,1.4,3.51,Enrolled,daytime
single,39,1,Tourism,Secondary education,150,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Administrative staff,122.3,no,no,no,yes,male,no,28,yes,0,6,10,6,13,0,0,6,8,5,12.2,0,13.9,-0.3,0.79,Graduate,daytime
married,39,1,Management (evening attendance),Secondary education,130,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,127.8,no,no,no,yes,male,no,37,yes,0,5,7,4,10.75,0,0,5,7,3,11.33333333,0,7.6,2.6,0.32,Enrolled,evening
single,43,1,Informatics Engineering,Secondary education,128,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",100,no,no,no,yes,male,no,19,yes,0,5,8,5,12,0,0,5,12,2,10.5,0,13.9,-0.3,0.79,Enrolled,daytime
single,17,4,Nursing,Secondary education,133,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",126.4,yes,no,no,yes,male,yes,18,yes,0,7,7,7,13.46285714,0,0,8,8,8,13.90625,0,11.1,0.6,2.02,Graduate,daytime
single,39,1,Tourism,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Other Situation,Other Situation,100,no,no,no,yes,male,no,48,yes,0,6,13,3,10,0,0,6,15,1,10,0,7.6,2.6,0.32,Dropout,daytime
single,17,4,Social Service,Secondary education,129,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,117.1,yes,no,no,yes,male,no,21,yes,0,6,6,6,12.33333333,0,0,6,7,6,13.66666667,0,8.9,1.4,3.51,Graduate,daytime
single,17,1,Nursing,Secondary education,128,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",124.7,no,no,no,yes,male,yes,19,yes,0,7,11,6,12.52857143,0,0,7,10,6,12.41666667,0,15.5,2.8,-4.06,Enrolled,daytime
single,43,2,Nursing,Secondary education,136,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Armed Forces Professions,124.1,no,no,no,yes,male,yes,21,yes,0,8,8,0,0,8,0,8,8,0,0,8,9.4,-0.8,-3.12,Enrolled,daytime
single,44,1,Informatics Engineering,Secondary education,130,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Other - 11th Year of Schooling,Unskilled Workers,Installation and Machine Operators and Assembly Workers,129.4,yes,no,yes,no,male,no,23,yes,0,5,6,0,0,0,0,5,7,0,0,0,13.9,-0.3,0.79,Dropout,daytime
single,1,1,Equinculture,Secondary education,141,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Armed Forces Professions,138.9,yes,no,no,yes,male,no,18,yes,0,5,5,5,13.6,0,0,5,6,4,13.25,1,10.8,1.4,1.74,Graduate,daytime
single,44,1,Social Service,Technological specialization course,140,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Intermediate Level Technicians and Professions,138.6,no,no,no,yes,male,no,22,yes,3,6,7,6,12.33333333,0,2,6,6,2,14,0,13.9,-0.3,0.79,Dropout,daytime
single,16,1,Animation and Multimedia Design,Secondary education,122,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",133.9,yes,no,no,yes,male,no,25,yes,9,13,16,10,11.45454545,0,5,11,13,7,12.25,0,12.4,0.5,1.79,Dropout,daytime
single,7,1,Veterinary Nursing,Higher education - degree (1st cycle),140,Portuguese,Higher Education - Doctorate,Higher Education - Degree,Specialists in Intellectual and Scientific Activities ,Specialists in Intellectual and Scientific Activities ,140,no,no,yes,yes,male,no,27,yes,8,13,13,8,13.5,2,5,11,12,5,14.4,0,11.1,0.6,2.02,Dropout,daytime
single,39,1,Informatics Engineering,Other - 11th year of schooling,133.1,Portuguese,Unknown,Unknown,Student,Student,95.1,no,no,no,no,male,no,49,yes,0,5,5,0,0,0,0,5,6,0,0,0,10.8,1.4,1.74,Dropout,daytime
single,39,1,Management (evening attendance),Secondary education,120,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",128.2,no,no,no,no,male,no,31,yes,0,5,5,2,11,0,0,5,0,0,0,0,12.7,3.7,-1.7,Dropout,evening
single,39,1,Tourism,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",121.5,no,no,no,yes,male,no,54,yes,0,6,9,6,13.71428571,0,0,6,13,5,14.33333333,0,16.2,0.3,-0.92,Dropout,daytime
single,7,1,Biofuel Production Technologies,Higher education - degree (1st cycle),120,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",120,yes,no,yes,no,male,no,25,yes,18,21,26,21,12.36363636,0,12,16,21,12,12.25,1,11.1,0.6,2.02,Dropout,daytime
single,44,1,Agronomy,Technological specialization course,130,Portuguese,Higher Education - Doctorate,Higher Education - Degree,Specialists in Intellectual and Scientific Activities ,Specialists in Intellectual and Scientific Activities ,130,no,no,no,yes,male,no,20,yes,1,7,13,3,10.66666667,0,0,6,14,2,11.5,0,15.5,2.8,-4.06,Enrolled,daytime
single,7,1,Communication Design,Higher education - degree,120,Portuguese,Higher Education - Master's,Higher Education - Master's,Specialists in Intellectual and Scientific Activities ,Specialists in Intellectual and Scientific Activities ,120,no,no,no,yes,male,no,28,yes,0,6,9,2,12,0,0,6,10,3,12.66666667,0,12.7,3.7,-1.7,Dropout,daytime
married,39,1,Social Service (evening attendance),Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",107,no,no,no,yes,male,no,41,yes,1,7,7,7,12.85714286,0,0,6,6,6,13.16666667,0,12.7,3.7,-1.7,Graduate,evening
single,1,2,Advertising and Marketing Management,Secondary education,122,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Administrative staff,116.1,no,no,no,yes,male,yes,19,yes,0,6,10,6,13.125,0,0,6,9,6,12.71428571,0,11.1,0.6,2.02,Enrolled,daytime
single,43,1,Management,Secondary education,123,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,114.4,no,no,no,yes,male,no,22,yes,0,5,6,0,0,0,0,5,8,2,11.5,0,15.5,2.8,-4.06,Dropout,daytime
single,1,1,Tourism,Secondary education,178,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities ,Intermediate Level Technicians and Professions,157.7,no,no,no,yes,male,no,34,yes,0,6,13,2,13.5,0,0,6,6,0,0,0,15.5,2.8,-4.06,Dropout,daytime
single,39,1,Agronomy,Secondary education,130,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,150,no,no,yes,no,male,no,28,yes,5,11,14,11,15.09090909,0,5,10,11,10,15,0,11.1,0.6,2.02,Dropout,daytime
single,1,1,Basic Education,Secondary education,110,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Administrative staff,114.3,yes,no,no,yes,male,no,42,yes,0,6,9,5,12.4,0,0,6,10,5,11.8,0,7.6,2.6,0.32,Enrolled,daytime
single,18,1,Veterinary Nursing,Secondary education,106,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",104.6,no,no,no,no,male,no,21,yes,0,6,10,5,14,0,0,6,11,4,14.8,0,11.1,0.6,2.02,Enrolled,daytime
single,7,1,Agronomy,Higher education - degree,140,Portuguese,Technological specialization course,Technological specialization course,Unskilled Workers,Administrative staff,140,no,no,no,yes,male,no,50,yes,2,6,8,2,13.5,0,1,6,9,1,13,0,15.5,2.8,-4.06,Dropout,daytime
single,1,4,Management,Secondary education,108,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Administrative staff,109.1,yes,no,no,yes,male,no,19,yes,0,5,5,0,0,0,0,5,5,0,0,0,12.4,0.5,1.79,Dropout,daytime
single,43,1,Nursing,Secondary education,120,Portuguese,Higher Education - Degree,Higher Education - Master's,Specialists in Intellectual and Scientific Activities ,Administrative staff,120.6,no,no,no,yes,male,no,18,yes,0,7,12,4,12.65,0,0,7,10,3,10.66666667,0,16.2,0.3,-0.92,Dropout,daytime
married,39,1,Management (evening attendance),Secondary education,100,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.," Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers"," Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",161.9,no,no,no,yes,male,no,59,yes,0,5,7,0,0,0,0,5,7,0,0,0,16.2,0.3,-0.92,Dropout,evening
married,7,1,Management (evening attendance),Higher education - degree,140,Portuguese,Unknown,Unknown,(blank),(blank),140,yes,no,no,no,male,no,33,yes,0,5,5,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,Dropout,evening
single,17,2,Communication Design,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Armed Forces Professions,178,yes,no,no,yes,male,yes,23,yes,0,6,8,6,13.33333333,0,0,6,7,5,12.8,0,9.4,-0.8,-3.12,Graduate,daytime
married,39,1,Management (evening attendance),Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",138.3,no,no,no,yes,male,no,44,yes,0,5,9,3,11.33333333,0,0,5,8,5,11.14285714,0,13.9,-0.3,0.79,Dropout,evening
married,1,4,Social Service (evening attendance),Secondary education,140,Portuguese,Unknown,Unknown,Student,Student,128,yes,no,no,yes,male,no,37,yes,0,6,0,0,0,0,0,6,0,0,0,0,9.4,-0.8,-3.12,Dropout,evening
married,39,1,Animation and Multimedia Design,Basic education 3rd cycle (9th/10th/11th year) or equiv.,100,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,139,no,no,no,yes,male,no,36,yes,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Dropout,daytime
single,1,2,Management (evening attendance),Secondary education,123,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Administrative staff,Specialists in Intellectual and Scientific Activities ,113.2,no,no,no,no,male,no,22,yes,0,5,7,3,11.66666667,0,0,5,8,2,10.5,2,7.6,2.6,0.32,Dropout,evening
married,39,1,Social Service (evening attendance),Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",139,no,no,no,yes,male,no,49,yes,0,6,8,6,12.16666667,0,0,6,8,6,14.42857143,0,12.4,0.5,1.79,Graduate,evening
single,51,1,Journalism and Communication,Secondary education,135,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Professional higher technical course,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,110,yes,no,no,yes,male,no,23,yes,0,6,7,6,13.33333333,0,0,6,6,4,12.75,0,11.1,0.6,2.02,Graduate,daytime
single,1,1,Communication Design,Secondary education,132,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Unskilled Workers,136.6,yes,no,no,yes,male,no,19,yes,0,6,7,5,11.4,0,0,6,10,3,11,3,7.6,2.6,0.32,Enrolled,daytime
married,43,1,Social Service (evening attendance),Secondary education,120,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",161.1,no,no,no,yes,male,no,47,yes,0,6,9,6,12.14285714,0,0,6,6,0,0,0,16.2,0.3,-0.92,Dropout,evening
single,43,1,Agronomy,Secondary education,130,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Bachelor's Degree,Administrative staff,Specialists in Intellectual and Scientific Activities ,130,no,no,no,yes,male,no,28,yes,9,18,36,17,13.05882353,1,6,12,15,12,12.30769231,0,15.5,2.8,-4.06,Graduate,daytime
single,44,1,Agronomy,Technological specialization course,140,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",140,no,no,no,yes,male,no,21,yes,0,6,13,4,11.75,0,0,6,15,4,10.5,0,15.5,2.8,-4.06,Enrolled,daytime
single,1,1,Tourism,Secondary education,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,121,no,no,yes,no,male,no,21,yes,0,6,9,5,11.83333333,0,0,6,8,5,10,0,8.9,1.4,3.51,Dropout,daytime
single,43,1,Social Service,Technological specialization course,120,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Eq.," Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Specialists in Intellectual and Scientific Activities ,118.6,no,no,no,yes,male,no,21,yes,9,11,14,10,12.4,0,6,10,13,10,11.8,0,13.9,-0.3,0.79,Graduate,daytime
single,1,1,Communication Design,Secondary education,140,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Administrative staff,138.3,no,no,no,yes,male,no,20,yes,1,6,8,6,13.42857143,1,0,6,12,4,11.5,0,13.9,-0.3,0.79,Enrolled,daytime
married,42,1,Management,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,115.8,no,no,no,no,male,no,49,yes,0,5,5,0,0,0,0,5,9,0,0,0,10.8,1.4,1.74,Dropout,daytime
single,39,1,Management (evening attendance),Secondary education,120,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Installation and Machine Operators and Assembly Workers,160,no,no,no,yes,male,no,40,yes,0,5,5,5,11,0,0,5,5,5,13.4,0,15.5,2.8,-4.06,Graduate,evening
single,17,1,Tourism,Secondary education,125,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,114.5,no,no,no,yes,male,yes,22,yes,0,6,8,6,13.625,0,0,6,8,6,14.42857143,0,11.1,0.6,2.02,Graduate,daytime
